Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
CDH17	cadherin 17	1015	8:94128240-94194685	2		8q22.1	yes		melanoma			E		oncogene	Mis				"1015,CDH17,ENSG00000079112,Q12864"
CDK12	cyclin-dependent kinase 12	51755	17:39462072-39531316	1	Yes	17q12	yes		serous ovarian			E	Rec	TSG	"Mis, N, F"				"51755,CDK12,CRKRS,ENSG00000167258,Q9NYV4"
CDK4	cyclin-dependent kinase 4	1019	12:57748525-57751717	1	Yes	12q14		yes		melanoma	familial malignant melanoma	E	Dom	oncogene	Mis				"1019,CDK4,ENSG00000135446,P11802"
CDK6	cyclin-dependent kinase 6	1021	7:92615140-92833323	1	Yes	7q21-q22	yes		ALL			L	Dom	"oncogene, fusion"	T	MLLT10			"1021,CDK6,ENSG00000105810,Q00534"
CDKN1A	cyclin dependent kinase inhibitor 1A	1026	6:36684102-36685800	2		6p21.2	yes		bladder cancer			E		"oncogene, TSG"	"F, N"				"1026,CDKN1,CDKN1A,ENSG00000124762,P38936"
CDKN1B	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	1027	12:12717840-12718946	1		12p13.1-p12	yes	yes	"breast, small intestine neuroendocrine tumours"	"pituitary, parathyroid"	multiple endocrine neoplasia type IV	E	Rec	TSG	F				"1027,CDKN1B,ENSG00000111276,P46527"
CDKN2A	cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene	1029	9:21968229-21974827	1	Yes	9p21	yes	yes	"melanoma, multiple other tumour types"	"melanoma, pancreatic"	familial malignant melanoma	"L, E, M, O"	Rec	TSG	"D, Mis, N, F, S"				"1029,CDKN2,CDKN2A,ENSG00000147889,MLM,P42771"
CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	1031	1:50970369-50974270	1		1p32	yes		"glioma, MM"			"O, L"	Rec	TSG	D				"1031,CDKN2C,ENSG00000123080,P42773"
CDX2	caudal type homeo box transcription factor 2	1045	13:27963115-27969006	1		13q12.3	yes		AML			L	Dom	"TSG, fusion"	T	ETV6			"1045,CDX2,CDX3,ENSG00000165556,Q99626"
CEBPA	"CCAAT/enhancer binding protein (C/EBP), alpha"	1050	19:33301338-33302414	1		19q13.1	yes		"AML, MDS"			L	Dom	TSG	"Mis, N, F"				"1050,CEBP,CEBPA,ENSG00000245848,P49715"
CEP89	centrosomal protein 89kDa	84902	19:32879162-32971874	2		19q13.11	yes		Spitzoid tumour			E	Dom	fusion	T	BRAF			"84902,CCDC123,CEP89,ENSG00000121289,Q96ST8"
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	79145	8:56214614-56217435	1		8q11.2	yes		salivary adenoma			E	Dom	fusion	T	PLAG1			"79145,CHCHD7,ENSG00000170791,Q9BUK0"
CHD2	chromodomain helicase DNA binding protein 2	1106	15:92901238-93020325	2		15q26.1	yes		"melanoma, large intestine, CLL, monoclonal B lymphocytosis"			"E, L"		TSG	"Mis, F, N"				"1106,CHD2,ENSG00000173575,O14647"
CHD4	chromodomain helicase DNA binding protein 4	1108	12:6570676-6606373	1	Yes	12p13	yes		uterine serous carcinoma			E	Dom	oncogene	"Mis, F, N"				"1108,CHD4,ENSG00000111642,Q14839"
CHEK2	CHK2 checkpoint homolog (S. pombe)	11200	22:28687897-28734721	1	Yes	22q12.1		yes		breast	familial breast cancer	E	Rec	TSG	F				"11200,CHEK2,ENSG00000183765,O96017,RAD53"
CHIC2	cysteine-rich hydrophobic domain 2	26511	4:54010095-54064300	2		4q11-q12	yes		AML			L	Dom	fusion	T	ETV6			"26511,CHIC2,ENSG00000109220,Q9UKJ5"
CHST11	carbohydrate sulfotransferase 11	50515	12:104457412-104757803	2		12q23.3	yes		B-CLL			L		"oncogene, fusion"	T				"50515,CHST11,ENSG00000171310,Q9NPF2"
CIC	capicua homolog	23152	19:42284705-42295191	1	Yes	19q13.2	yes		"oligodendroglioma, soft tissue sarcoma"			"O, M"	Rec	"oncogene, TSG, fusion"	"Mis, F, S,T"	"DUX4L1, FOXO4"			"23152,CIC,ENSG00000079432"
CIITA	"class II, major histocompatibility complex, transactivator"	4261	16:10877332-10923304	1	Yes	16p13	yes		"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	"C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6"			"4261,CIITA,ENSG00000179583,MHC2TA,P33076"
CLIP1	CAP-GLY domain containing linker protein 1	6249	12:122272875-122380452	1	Yes	12q24.3	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1			"6249,CLIP1,ENSG00000130779,P30622,RSN"
CLP1	cleavage and polyadenylation factor I subunit 1	10978	11:57659477-57661436	2		11q12	yes		AML			L	Dom	fusion	T	KMT2A			"10978,CLP1,ENSG00000172409,Q92989"
CLTC	"clathrin, heavy polypeptide (Hc)"	1213	17:59620133-59693853	1	Yes	17q11-qter	yes		"ALCL, renal"			L	Dom	"TSG, fusion"	T	"ALK, TFE3"			"1213,CLTC,CLTCL2,ENSG00000141367,Q00610"
CLTCL1	"clathrin, heavy polypeptide-like 1"	8218	22:19180219-19291641	1	Yes	22q11.21	yes		ALCL			L	Dom	"TSG, fusion"	T	?			"8218,CLTCL,CLTCL1,ENSG00000070371,P53675"
CNBD1	cyclic nucleotide binding domain containing 1	168975	8:86866496-87382627	2		8q21.3	yes		"gastric cancer, colon cancer"			E			Mis				"168975,CNBD1,ENSG00000176571,Q8NA66"
CNBP	"CCHC-type zinc finger, nucleic acid binding protein"	7555	3:129170453-129171757	1	Yes	3q21	yes		aneurysmal bone cyst			M	Dom	"TSG, fusion"	T	USP6			"7555,CNBP,DM2,ENSG00000169714,P62633,ZNF9"
CNOT3	CCR4-NOT transcription complex subunit 3	4849	19:54142979-54155407	1	Yes	19q13.4	yes		T-ALL			L	Rec	TSG	"Mis, N, F"				"4849,CNOT3,ENSG00000088038,NOT3,O75175"
CNTNAP2	contactin associated protein like 2	26047	7:146116877-148415616	2		7q35-q36.1	yes		"glioma, melanoma"			"E, O"		TSG	Mis				"26047,CNTNAP2,ENSG00000174469,Q9UHC6"
CNTRL	centriolin	11064	9:121088328-121177187	1		9q33.2	yes		"MPN, NHL"			L	Dom	fusion	T	FGFR1			"11064,CEP1,CEP110,CNTRL,ENSG00000119397,Q7Z7A1"
COL1A1	"collagen, type I, alpha 1"	1277	17:50185502-50201513	1		17q21.31-q22	yes		"DFSP, aneurysmal bone cyst"			M	Dom	fusion	T	"PDGFB, USP6"	yes	Osteogenesis imperfecta	"1277,COL1A1,ENSG00000108821,P02452"
COL2A1	"collagen, type II, alpha 1"	1280	12:47973407-48004321	1		12q13.11	yes		"chondrosarcoma, enchondroma"			"L, E, M"	Rec	fusion	"F, Mis, N, T"		yes	"Spondyloepiphyseal Dysplasia Congenita, Achondrogenesis Type II, Stickler Syndrome, Type I and others"	"1280,AOM,COL2A1,ENSG00000139219,P02458,SEDC"
COL3A1	collagen type III alpha 1 chain	1281	2:188974490-189011774	2		2q32.2	yes		lipoblastoma			E		fusion	T	PLAG1			"1281,COL3A1,EDS4A,ENSG00000168542,P02461"
COX6C	cytochrome c oxidase subunit VIc	1345	8:99878148-99892021	2		8q22-q23	yes		uterine leiomyoma			M	Dom	fusion	T	HMGA2			"1345,COX6C,ENSG00000164919,P09669"
CPEB3	cytoplasmic polyadenylation element binding protein 3	22849	10:92052212-92240350	2		10q23.32	yes		lung cancer			E		TSG	D				"22849,CPEB3,ENSG00000107864,Q8NE35"
CREB1	cAMP responsive element binding protein 1	1385	2:207555637-207597059	1		2q34	yes		"clear cell sarcoma, angiomatoid fibrous histiocytoma"			M	Dom	"oncogene, fusion"	T	EWSR1			"1385,CREB1,ENSG00000118260,P16220"
CREB3L1	cAMP responsive element binding protein 3-like 1	90993	11:46278112-46320746	1	Yes	11p11.2	yes		myxofibrosarcoma			M	Dom	"TSG, fusion"	T	FUS			"90993,CREB3L1,ENSG00000157613,Q96BA8"
CREB3L2	cAMP responsive element binding protein 3-like 2	64764	7:137880476-138001705	1	Yes	7q34	yes		fibromyxoid sarcoma			M	Dom	"oncogene, fusion"	T	FUS			"64764,CREB3L2,ENSG00000182158,Q70SY1"
CREBBP	CREB binding protein (CBP)	1387	16:3727718-3879916	1	Yes	16p13.3	yes		"ALL, AML, DLBCL, B-NHL"			L	Dom/Rec	"oncogene, TSG, fusion"	"T, N, F, Mis, O"	"KMT2A, MORF, KAT6A"	yes	Rubinstein-Taybi syndrome	"1387,CREBBP,ENSG00000005339,Q92793,RSTS"
CRLF2	cytokine receptor-like factor 2	64109	"X,Y:1196780-1212634"	1	Yes	"Xp22.3; Yp11.3"	yes		"B-ALL, Downs associated ALL"			L	Dom	"oncogene, fusion"	"Mis, T"	"P2RY8, IGH"			"64109,CRLF2,ENSG00000205755"
CRNKL1	crooked neck pre-mRNA splicing factor 1	51340	20:20036195-20056014	2		20p11.23	yes		base cell carcinoma			E			Mis				"51340,CRNKL1,ENSG00000101343,Q9BZJ0"
CRTC1	CREB regulated transcription coactivator 1	23373	19:18683703-18777382	1	Yes	19p13.11	yes		salivary gland mucoepidermoid			E	Dom	"oncogene, fusion"	T	MAML2			"23373,CRTC1,ENSG00000105662,MECT1,Q6UUV9"
CRTC3	CREB regulated transcription coactivator 3	64784	15:90530072-90642140	1		15q26.1	yes		salivary gland mucoepidermoid			E	Dom	fusion	T	MAML2			"64784,CRTC3,ENSG00000140577,Q6UUV7"
CSF1R	colony stimulating factor 1 receptor	1436	5:150054069-150086427	2		5q32	yes		"MDS, CML, AML, hemangioblastoma, CCRCC"			"L, M, E"		oncogene	"Mis, N"		yes	diffuse leukoencephalopathy with spheroids	"1436,CSF1R,ENSG00000182578,FMS,P07333"
CSF3R	colony stimulating factor 3 receptor (granulocyte)	1441	1:36466357-36479496	1		1p35-p34.4	yes		"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS"			L	Dom	oncogene	"Mis, N"		yes	"Kostmann syndrome, severe congenital neutropenia"	"1441,CD114,CSF3R,ENSG00000119535,Q99062"
CSMD3	CUB and Sushi multiple domains 3	114788	8:112224771-113436854	2		8q23.3	yes		"ovarian cancer, oral SCC, lung cancer"			E		TSG	"Mis, N"				"114788,CSMD3,ENSG00000164796,Q7Z407"
CTCF	CCCTC-binding factor	10664	16:67610833-67637872	1	Yes	16q22.1	yes		"endometrial, breast, head and neck cancer"			E	Dom	TSG	"Mis, N"			"Mental retardation, autosomal dominant 21"	"10664,CTCF,ENSG00000102974,P49711"
CTNNA2	catenin alpha 2	1496	2:-	2		2p12	yes		gastric cancer			E		oncogene	"Mis, S"				
CTNNB1	"catenin (cadherin-associated protein), beta 1"	1499	3:41224069-41239342	1		3p22-p21.3	yes		"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types"			"E, M, O"	Dom	"oncogene, fusion"	"Mis, O, T"	PLAG1			"1499,CTNNB,CTNNB1,ENSG00000168036,P35222"
CTNND1	catenin delta 1	1500	11:57791479-57816308	2		11q12.1	yes		large intestine carcinoma			E			N				"1500,CTNND,CTNND1,ENSG00000198561,O60716"
CTNND2	catenin delta 2	1501	5:10973453-11903853	2		5p15.2	yes		"prostae adenocarcinoma, GIST"			E		oncogene	Mis				"1501,CTNND2,ENSG00000169862,Q9UQB3"
CUL3	cullin 3	8452	2:224474245-224585009	2		2q36.2	yes		lung cancer			E		TSG	N				"8452,CUL3,ENSG00000036257,Q13618"
CUX1	cut-like homeobox 1	1523	7:101817640-102249042	1	Yes	7q22.1	yes		"endometrial, melanoma, colorectal, AML, MDS, other tumour types"			"E,L,M,O"	Dom	"oncogene, TSG"	"N,F,S,Mis,O,T"	CLDN7			"1523,CUTL1,CUX1,ENSG00000257923,P39880"
CXCR4	C-X-C motif chemokine receptor 4	7852	2:136114869-136115939	1	Yes	2q21	yes	yes	WM			L	Dom	oncogene	"Mis, N, F"				"7852,CXCR4,ENSG00000121966,P61073"
CYLD	familial cylindromatosis gene	1540	16:50749699-50796508	1	Yes	16q12-q13	yes	yes	cylindroma	cylindroma	"familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome"	E	Rec	TSG	"Mis, N, F, S"				"1540,CYLD,CYLD1,ENSG00000083799,Q9NQC7"
CYP2C8	cytochrome P450 family 2 subfamily C member 8	1558	10:95037128-95069402	2		10q23.33	yes		melanoma			E			Mis				"1558,CPC8,CYP2C8,ENSG00000138115,P450 MP-12/MP-20,P450MP-12/MP-20"
CYSLTR2	cysteinyl leukotriene receptor 2	57105	13:48706818-48707858	2		13q14.2	yes		uveal melanoma			E		oncogene	Mis				"57105,CYSLTR2,ENSG00000152207,Q9NS75"
DAXX	death-domain associated protein	1616	6:33318743-33321925	1	Yes	6p21.3	yes		"pancreatic neuroendocrine tumour, paediatric glioblastoma"			E	Rec	"oncogene, TSG"	"Mis, F, N"				"1616,DAXX,ENSG00000204209,Q9UER7"
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	340578	X:126164533-126165924	2		Xq25	yes		CRC			E			Mis				"340578,DCAF12L2,ENSG00000198354,Q5VW00,WDR40C"
DCC	DCC netrin 1 receptor	1630	18:52340788-53530653	2		18q21.2	yes		"CRC, melanoma, SCC"			E			"Mis, N, D"				"1630,DCC,ENSG00000187323,P43146"
DCTN1	dynactin 1	1639	2:74361499-74380037	1		2p13	yes		"inflammatory myofibroblastic tumour, Spitzoid tumour"			M	Dom	fusion	T	"ALK, ROS1"	yes	"Distal hereditary motor neuronopathy, susceptibility to amyotrophic lateral sclerosis, Perry syndrome"	"1639,DCTN1,ENSG00000204843,Q14203"
DDB2	damage-specific DNA binding protein 2	1643	11:47215137-47238849	1	Yes	11p12		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (E)	E	Rec	"oncogene, TSG"	"Mis, N"				"1643,DDB2,ENSG00000134574,Q92466"
DDIT3	DNA-damage-inducible transcript 3	1649	12:57516809-57517406	1	Yes	12q13.1-q13.2	yes		liposarcoma			M	Dom	"oncogene, fusion"	T	"FUS, EWSR1"			"1649,DDIT3,ENSG00000175197,P35638"
DDR2	discoidin domain receptor 2	4921	1:162719064-162780246	1	Yes	1q12-q23	yes		"squamous cell carcinoma, NSCLC"			E	Dom	oncogene	"Mis, N"		yes	"Spondylometaepiphyseal dysplasia, short limb-hand type"	"4921,DDR2,ENSG00000162733,NTRKR3,Q16832,TYRO10"
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	1662	11:108665154-108940423	1	Yes	11q22-q23	yes		AML*			L	Dom	"TSG, fusion"	T	NUP98			"1662,DDX10,ENSG00000178105,Q13206"
DDX3X	"DEAD-box helicase 3, X-linked"	1654	X:41334253-41347719	1	Yes	Xp11.4	yes		"CLL, medulloblastoma"			"L, O"		TSG	"Mis, N, F"		yes	"Mental retardation, X-linked 102"	"1654,DDX3,DDX3X,ENSG00000215301,O00571"
DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	1655	17:64499923-64506119	1	Yes	17q21	yes		prostate			E	Dom	"oncogene, fusion"	T	ETV4			"1655,DDX5,ENSG00000108654,G17P1,HLR1,P17844"
DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	1656	11:118754712-118786218	1	Yes	11q23.3	yes		B-NHL			L	Dom	"oncogene, fusion"	T	IGH			"1656,DDX6,ENSG00000110367,HLR2,P26196"
DEK	DEK oncogene (DNA binding)	7913	6:18225719-18263987	1		6p23	yes		AML			L	Dom	"oncogene, fusion"	T	NUP214			"7913,DEK,ENSG00000124795,P35659"
DGCR8	"DGCR8, microprocessor complex subunit"	54487	22:20085964-20110108	2		22q11.21	yes		Wilms tumour			O		oncogene	Mis				"54487,C22orf12,DGCR8,ENSG00000128191,Q8WYQ5"
DICER1	"dicer 1, ribonuclease type III"	23405	14:95090498-95133458	1	Yes	14q32.13	yes	yes	"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types"	pleuropulmonary blastoma	familial pleuropulmonary blastoma or DICER1 syndrome	"E, M, O"	Rec	TSG	"Mis, F, N"				"23405,DICER1,ENSG00000100697,MNG1,Q9UPY3"
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	3337	19:14515940-14518349	1		19p13.2	yes		fibrolamellar hepatocellular carcinoma			E	Dom	fusion	T	PRKACA			"3337,DNAJB1,ENSG00000132002,HSPF1,P25685"
DNM2	dynamin 2	1785	19:10718243-10831047	1	Yes	19p13.2	yes		T-ALL			L	Rec	TSG	"F, N, S, Mis, O"		yes	"Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5"	"1785,DNM2,ENSG00000079805,P50570"
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	1788	2:25234279-25313984	1		2p23	yes		AML			L	Dom	TSG	"Mis, F, N, S"				"1788,DNMT3A,ENSG00000119772,Q9Y6K1"
DROSHA	drosha ribonuclease III	29102	5:31401432-31529059	1	Yes	5q11.2	yes		"Wilms tumour, NSCLC, bladder carcinoma"			"E, O"		TSG	"A, Mis, N, F"				"29102,DROSHA,ENSG00000113360,Q9NRR4,RNASEN"
DUX4L1	double homeobox 4 like 1	22947	4:190084229-190085686	2		4q35	yes		soft tissue sarcoma			M	Dom	fusion	T	CIC			"22947,DUX4,ENSG00000258389"
EBF1	early B-cell factor 1	1879	5:158699111-159099478	1	Yes	5q34	yes		lipoma			M	Dom	"TSG, fusion"	T	HMGA2			"1879,EBF,EBF1,ENSG00000164330,Q9UH73"
ECT2L	epithelial cell transforming sequence 2 oncogene-like	345930	6:138813275-138902627	2		6q24.1	yes		ETP ALL			L	Rec		"N, S, Mis"				"345930,C6orf91,ECT2L,ENSG00000203734,Q008S8"
EED	embryonic ectoderm development	8726	11:86245230-86278525	2		11q14.2	yes		"malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma"			"E, L"		TSG	"Mis, F"				"8726,EED,ENSG00000074266,O75530"
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"	1956	7:55019278-55205617	1	Yes	7p12.3-p12.1	yes	yes	"glioma, NSCLC"	NSCLC	familial lung cancer	"E, O"	Dom	oncogene	"A, O, Mis"				"1956,EGFR,ENSG00000146648,ERBB,P00533"
EIF1AX	"eukaryotic translation initiation factor 1A, X-linked"	1964	X:20128306-20141640	2		Xp22.12	yes		"uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer"			E			"Mis, S"				"1964,EIF1A,EIF1AX,EIF4C,ENSG00000173674,P47813"
EIF3E	"eukaryotic translation initiation factor 3, subunit E"	3646	8:108201885-108248702	1	Yes	8q22-q23	yes		colorectal			E	Dom	"TSG, fusion"	T	RSPO3			"3646,EIF3E,EIF3S6,ENSG00000104408,INT6,P60228"
EIF4A2	"eukaryotic translation initiation factor 4A, isoform 2"	1974	3:186783611-186789269	1	Yes	3q27.3	yes		NHL			L	Dom	fusion	T	BCL6			"1974,EIF4A2,EIF4F,ENSG00000156976,Q14240"
ELF3	E74 like ETS transcription factor 3	1999	1:202011137-202015323	2		1q32.1	yes		pancreatic cancer			E		TSG	"Mis, N, F"				"1999,ELF3,ENSG00000163435,ESX,P78545"
ELF4	E74-like factor 4 (ets domain transcription factor)	2000	X:130066721-130081330	1	Yes	Xq26	yes		AML			L	Dom	"oncogene, TSG, fusion"	T	ERG			"2000,ELF4,ENSG00000102034,Q99607"
ELK4	"ELK4, ETS-domain protein (SRF accessory protein 1)"	2005	1:205616546-205623882	1	Yes	1q32	yes		prostate			E	Dom	"oncogene, fusion"	T	SLC45A3			"2005,ELK4,ENSG00000158711,P28324"
ELL	ELL gene (11-19 lysine-rich leukemia gene)	8178	19:18444752-18522055	1	Yes	19p13.1	yes		AL			L	Dom	"TSG, fusion"	T	KMT2A			"8178,C19orf17,ELL,ENSG00000105656,P55199"
ELN	elastin	2006	7:74028188-74068700	2		7q11.23	yes		B-ALL			L	Dom	fusion	T	PAX5	yes	"Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome"	"2006,ELN,ENSG00000049540,P15502"
EML4	echinoderm microtubule associated protein like 4	27436	2:42169613-42330208	1	Yes	2p21	yes		NSCLC			E	Dom	fusion	T	ALK			"27436,C2orf2,EML4,ENSG00000143924,Q9HC35"
EP300	300 kd E1A-Binding protein gene	2033	22:41093005-41178956	1	Yes	22q13	yes		"colorectal, breast, pancreatic, AML, ALL, DLBCL"			"L, E"	Rec	"TSG, fusion"	"T,  N, F, Mis, O"	"KMT2A, KAT6A"			"2033,ENSG00000100393,EP300,Q09472"
EPAS1	endothelial PAS domain protein 1	2034	2:46297912-46384660	1	Yes	2p21-p16	yes		"paraganglioma, pheochromocytoma, central nervous system hemangioblastomas"			"E, M"	Dom	"oncogene, TSG"	Mis		yes	type 3 familial erythrocytosis	"2034,ENSG00000116016,EPAS1,Q99814"
EPHA3	EPH receptor A3	2042	3:89107749-89479502	2		3p11.1	yes		"lung cancer, CRC, melanoma"			E			Mis				"2042,ENSG00000044524,EPHA3,ETK,ETK1,P29320,TYRO4"
EPHA7	EPH receptor A7	2045	6:93243426-93419341	2		6q16.1	yes		"CRC, melanoma"			E			Mis				"2045,ENSG00000135333,EPHA7,Q15375"
EPS15	epidermal growth factor receptor pathway substrate 15 (AF1p)	2060	1:51356700-51519231	1	Yes	1p32	yes		ALL			L	Dom	"TSG, fusion"	T	KMT2A			"2060,ENSG00000085832,EPS15,P42566"
ERBB2	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"	2064	17:39700239-39728044	1	Yes	17q21.1	yes		"breast, ovarian, other tumour types, NSCLC, gastric"			E	Dom	"oncogene, fusion"	"A, Mis, O"				"2064,ENSG00000141736,ERBB2,HER2,NGL,P04626"
ERBB3	erb-b2 receptor tyrosine kinase 3	2065	12:56080301-56102055	1	Yes	12q13	yes		"colon, gastric, head and neck, bladder, skin"			E	Dom	oncogene	"Mis, N"				"2065,ENSG00000065361,ERBB3,LCCS2,P21860"
ERBB4	erb-b2 receptor tyrosine kinase 4	2066	2:211383615-212538530	1	Yes	2q33.3-q34	yes	yes	"melanoma, gastric, NSCLC"			E	Dom	"oncogene, TSG"	"Mis, N"		yes	Amyotrophic lateral sclerosis 19	"2066,ENSG00000178568,ERBB4,Q15303"
ERC1	ELKS/RAB6-interacting/CAST family member 1	23085	12:1027904-1490230	1	Yes	12p13.3	yes		"papillary thyroid, Spitzoid tumour"			E	Dom	fusion	T	"RET, ROS1"			"23085,ENSG00000082805,ERC1,Q8IUD2,RAB6IP2"
ERCC2	"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)"	2068	19:45351629-45370237	1	Yes	19q13.2-q13.3		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (D)	E	Rec	TSG	"Mis, N, F, S"				"2068,ENSG00000104884,ERCC2,P18074,XPD"
ERCC3	"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"	2071	2:127257596-127294081	1	Yes	2q21		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (B)	E	Rec	TSG	"Mis, S"				"2071,ENSG00000163161,ERCC3,P19447"
ERCC4	"excision repair cross-complementing rodent repair deficiency, complementation group 4"	2072	16:13920166-13948347	1	Yes	16p13.3-p13.13		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (F)	E	Rec	TSG	"Mis, N, F"				"2072,ENSG00000175595,ERCC4,Q92889,XPF"
ERCC5	"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))"	2073	13:102846267-102875903	1	Yes	13q33		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (G)	E	Rec	TSG	"Mis, N, F"				"2073,ENSG00000134899,ERCC5,ERCM2,P28715,XPGC"
ERG	v-ets erythroblastosis virus E26 oncogene like (avian)	2078	21:38383403-38575700	1	Yes	21q22.3	yes		"Ewing sarcoma, prostate, AML"			"M, E, L"	Dom	"oncogene, fusion"	"T, A"	"EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1"			"2078,ENSG00000157554,ERG,P11308"
ESR1	estrogen receptor 1	2099	6:151807913-152098966	1	Yes	6q25.1	yes		breast			E	Dom	"oncogene, TSG, fusion"	Mis				"2099,ENSG00000091831,ESR,ESR1,P03372"
ETNK1	ethanolamine kinase 1	55500	12:22625164-22684954	1	Yes	12p12.1	yes		"aCML, CMML, SM-AHD, HES"			L	Dom	TSG	Mis				"55500,ENSG00000139163,ETNK1,Q9HBU6"
ETV1	ets variant gene 1	2115	7:13895866-13989052	1		7p22	yes		"Ewing sarcoma, prostate"			"M, E"	Dom	"oncogene, fusion"	T	"EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3"			"2115,ENSG00000006468,ETV1,P50549"
ETV4	"ets variant gene 4 (E1A enhancer binding protein, E1AF)"	2118	17:43528519-43545617	1		17q21	yes		"Ewing sarcoma, prostate carcinoma"			"M, E"	Dom	"oncogene, fusion"	T	"EWSR1, TMPRSS2, DDX5, KLK2, CANT1"			"2118,ENSG00000175832,ETV4,P43268"
ETV5	ets variant gene 5	2119	3:186048639-186105868	1		3q28	yes		prostate			E	Dom	"oncogene, fusion"	T	"TMPRSS2, SCL45A3"			"2119,ENSG00000244405,ETV5,P41161"
ETV6	ets variant gene 6 (TEL oncogene)	2120	12:11650128-11891046	1	Yes	12p13	yes		"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS"			"L, E, M"	Dom	"TSG, fusion"	T	"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5"			"2120,ENSG00000139083,ETV6,P41212"
EWSR1	Ewing sarcoma breakpoint region 1 (EWS)	2130	22:29268337-29300161	1	Yes	22q12	yes		"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma"			"L, M, E"	Dom	"oncogene, fusion"	T	"FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1"			"2130,ENSG00000182944,EWSR1,Q01844"
EXT1	multiple exostoses type 1 gene	2131	8:117799712-118111046	1		8q24.11-q24.13		yes		"exostoses, osteosarcoma"	multiple exostoses type 1	M	Rec	"TSG, fusion"	"Mis, N, F, S"				"2131,ENSG00000182197,EXT1,LGCR,LGS,Q16394"
EXT2	multiple exostoses type 2 gene	2132	11:44107713-44244287	1		11p12-p11		yes		"exostoses, osteosarcoma"	multiple exostoses type 2	M	Rec	TSG	"Mis, N, F, S"				"2132,ENSG00000151348,EXT2,Q93063"
EZH2	enhancer of zeste homolog 2	2146	7:148807646-148847298	1		7q35-q36	yes		DLBCL			L	Dom	"oncogene, TSG"	Mis				"2146,ENSG00000106462,EZH2,Q15910"
EZR	ezrin	7430	6:158766914-158818093	1	Yes	6q25.3	yes		NSCLC			E	Dom	fusion	T	ROS1			"7430,ENSG00000092820,EZR,P15311,VIL2"
